Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
LC1F10028002,285229100,ELECTRO SCIENTIFIC INDUSTRIES,4050 ,34668.00 
LC1F10011002,286082102,ELECTRONICS FOR IMAGING INC,4310 ,207267.90 
LC1F10029002,286082102,ELECTRONICS FOR IMAGING INC,2403 ,115560.27 
LC1F10028002,288853104,PERRY ELLIS INTERNATIONAL INC,1925 ,36093.75 
LC1F40020002,29265W207,ENEL SPA,61498 ,330121.26 
LC1F10029002,29355X107,ENPRO INDUSTRIES INC,936 ,63077.04 
LC1F10028002,29667D104,ESSA BANCORP INC,2100 ,30891.00 
LC1F10028002,297602104,ETHAN ALLEN INTERIORS INC,1000 ,27450.00 
LC1F10011002,298736109,EURONET WORLDWIDE INC,1130 ,100185.80 
LC1F10028002,30064E109,EXACTECH INC,1350 ,42052.50 
LC1F10011002,30255G103,FCB FINANCIAL HOLDINGS INC,4130 ,193284.00 
LC1F10028002,316394105,FIDELITY SOUTHERN CORP,3050 ,66246.00 
LC1F10028002,317585404,FINANCIAL INSTITUTIONS INC,1675 ,51925.00 
LC1F10028002,31866P102,FIRST BANCORP INC/ME,1150 ,29704.50 
LC1F10029002,320209109,FIRST FINANCIAL BANCORP,4634 ,117240.20 
LC1F10028002,320218100,FIRST FINANCIAL CORP/IN,1500 ,69225.00 
LC1F10028002,320557101,FIRST INTERNET BANCORP,1725 ,44850.00 
LC1F10029002,32055Y201,FIRST INTERSTATE BANCSYSTEM IN,2020 ,73427.00 
LC1F10029002,320867104,FIRST MIDWEST BANCORP INC/IL,4444 ,100923.24 
LC1F10026002,33616C100,FIRST REPUBLIC BANK/CA,4400 ,417604.00 
LC1F10011002,34354P105,FLOWSERVE CORP,2200 ,108460.00 
LC1F10011002,34959E109,FORTINET INC,3780 ,148213.80 
LC1F10028002,35352P104,FRANKLIN FINANCIAL NETWORK INC,1025 ,41102.50 
LC1F10011002,359694106,HB FULLER CO,1370 ,70993.40 
LC1F10029002,359694106,HB FULLER CO,2757 ,142867.74 
LC1F10028002,36268W100,GAIN CAPITAL HOLDINGS INC,3795 ,22238.70 
LC1F10026002,369550108,GENERAL DYNAMICS CORP,2300 ,465796.00 
LC1F10011002,371532102,GENESCO INC,1700 ,64345.00 
LC1F10028002,377316104,PH GLATFELTER CO,2925 ,55224.00 
LC1F40020002,37733W105,GLAXOSMITHKLINE PLC,8262 ,365923.98 
LC1F10028002,384556106,GRAHAM CORP,2674 ,53453.26 
LC1F10029002,391416104,GREAT WESTERN BANCORP INC,3656 ,138635.52 
LC1F10028002,39260X100,GREEN BANCORP INC,1000 ,19300.00 
LC1F10028002,395259104,GREENHILL & CO INC,2675 ,56308.75 
LC1F10028002,402307102,GULF ISLAND FABRICATION INC,3375 ,32568.75 
LC1F10029002,404030108,H&E EQUIPMENT SERVICES INC,4317 ,89405.07 
LC1F10028002,40416E103,HCI GROUP INC,1425 ,64210.50 
LC1F10029002,405024100,HAEMONETICS CORP,1361 ,57107.56 
LC1F10026002,406216101,HALLIBURTON CO,5900 ,268391.00 
LC1F10029002,410120109,HANCOCK HOLDING CO,3969 ,187733.70 
LC1F10028002,410495204,HANMI FINANCIAL CORP,2025 ,54573.75 
LC1F10029002,410867105,HANOVER INSURANCE GROUP INC/TH,917 ,76569.50 
LC1F10028002,412324303,HARDINGE INC,3425 ,41579.50 
LC1F10028002,416196103,HARTE-HANKS INC,5900 ,7847.00 
LC1F10028002,416906105,HARVARD BIOSCIENCE INC,6400 ,15680.00 
LC1F10028002,419596101,HAVERTY FURNITURE COS INC,2450 ,60882.50 
LC1F10028002,420877201,HAYNES INTERNATIONAL INC,1600 ,58592.00 
LC1F10029002,421946104,HEALTHCARE REALTY TRUST INC,2892 ,97431.48 
LC1F10029002,42330P107,HELIX ENERGY SOLUTIONS GROUP I,6209 ,31727.99 
LC1F10011002,428291108,HEXCEL CORP,3090 ,160710.90 
LC1F10029002,431284108,HIGHWOODS PROPERTIES INC,2347 ,119204.13 
LC1F10028002,431466101,HILL INTERNATIONAL INC,4800 ,24480.00 
LC1F10026002,437076102,HOME DEPOT INC/THE,3500 ,543025.00 
LC1F10028002,43785V102,HOMESTREET INC,2200 ,60060.00 
LC1F10028002,437872104,HOMETRUST BANCSHARES INC,2200 ,55110.00 
LC1F40020002,438128308,HONDA MOTOR CO LTD,15181 ,429470.49 
LC1F10028002,440407104,HORIZON BANCORP/IN,2650 ,68582.00 
LC1F10028002,448947507,IDT CORP,1510 ,25851.20 
LC1F40020002,450737101,IBERDROLA SA,13763 ,439266.29 
LC1F10029002,45073V108,ITT INC,3704 ,145789.44 
LC1F10028002,45378A106,INDEPENDENCE REALTY TRUST INC,6475 ,63649.25 
LC1F10029002,453836108,INDEPENDENT BANK CORP/ROCKLAND,808 ,49853.60 
LC1F10028002,453838609,INDEPENDENT BANK CORP/MI,3100 ,64480.00 
LC1F10029002,45665Q103,INFINITY PROPERTY & CASUALTY C,831 ,80316.15 
LC1F10011002,45780R101,INSTALLED BUILDING PRODUCTS IN,5770 ,291385.00 
LC1F10011002,457985208,INTEGRA LIFESCIENCES HOLDINGS,5640 ,286681.20 
LC1F10011002,458118106,INTEGRATED DEVICE TECHNOLOGY I,7300 ,187610.00 
LC1F10029002,460335201,INTERNATIONAL SPEEDWAY CORP,1914 ,68234.10 
LC1F10028002,46600W106,IXYS CORP,6065 ,89458.75 
LC1F10029002,466032109,J&J SNACK FOODS CORP,744 ,99353.76 
LC1F10026002,46625H100,JPMORGAN CHASE & CO,3200 ,265792.00 
LC1F10011002,477839104,JOHN BEAN TECHNOLOGIES CORP,3870 ,341527.50 
LC1F10029002,48019R108,JONES ENERGY INC,1870 ,3553.70 
LC1F10011002,482539103,KLX INC,3410 ,168317.60 
LC1F40020002,485537302,KAO CORP,1277 ,80350.12 
LC1F10029002,48562P103,KAPSTONE PAPER AND PACKAGING C,3429 ,74169.27 
LC1F40020002,495724403,KINGFISHER PLC,32115 ,271371.75 
LC1F10028002,496719105,KINGSTONE COS INC,3375 ,51300.00 
LC1F10029002,497266106,KIRBY CORP,872 ,59383.20 
LC1F10028002,497498105,KIRKLAND'S INC,5575 ,50676.75 
LC1F10029002,498904200,KNOLL INC,2424 ,53764.32 
LC1F40020002,500467501,KONINKLIJKE AHOLD DELHAIZE NV,15192 ,334938.02 
LC1F10028002,511637100,LAKELAND BANCORP INC,3325 ,63341.25 
LC1F10028002,514766104,LANDEC CORP,4500 ,63000.00 
LC1F10029002,524901105,LEGG MASON INC,1667 ,63145.96 
LC1F10026002,526057104,LENNAR CORP,8150 ,423229.50 
LC1F10029002,529043101,LEXINGTON REALTY TRUST,8889 ,86845.53 
LC1F10029002,53223X107,LIFE STORAGE INC,716 ,53542.48 
LC1F10028002,532257805,LIGHTPATH TECHNOLOGIES INC,4175 ,13568.75 
LC1F10011002,535919500,LIONS GATE ENTERTAINMENT CORP,9186 ,239111.58 
LC1F10011002,536797103,LITHIA MOTORS INC,680 ,63484.80 
LC1F40020002,539439109,LLOYDS BANKING GROUP PLC,115219 ,427462.49 
LC1F10026002,55261F104,M&T BANK CORP,2050 ,325335.00 
LC1F10011002,552848103,MGIC INVESTMENT CORP,17520 ,188164.80 
LC1F10028002,55305B101,M/I HOMES INC,1625 ,45613.75 
LC1F10011002,55405Y100,MACOM TECHNOLOGY SOLUTIONS HOL,1340 ,80065.00 
LC1F10029002,556269108,STEVEN MADDEN LTD,2041 ,79701.05 
LC1F10011002,55825T103,MADISON SQUARE GARDEN CO/THE,1115 ,219487.75 
LC1F10029002,56035L104,MAIN STREET CAPITAL CORP,2020 ,78194.20 
LC1F10028002,56062Y102,MAINSOURCE FINANCIAL GROUP INC,2200 ,72820.00 
LC1F10028002,567908108,MARINEMAX INC,2800 ,52080.00 
LC1F10011002,57060D108,MARKETAXESS HOLDINGS INC,790 ,151656.30 
LC1F10028002,573075108,MARTEN TRANSPORT LTD,2400 ,60120.00 
LC1F10026002,573284106,MARTIN MARIETTA MATERIALS INC,2150 ,490114.00 
LC1F10011002,574795100,MASIMO CORP,1690 ,149396.00 
LC1F10029002,576323109,MASTEC INC,4829 ,210302.95 
LC1F10011002,57686G105,MATSON INC,3160 ,95305.60 
LC1F10029002,57686G105,MATSON INC,1637 ,49371.92 
LC1F10029002,57776J100,MAXLINEAR INC,2828 ,87498.32 
LC1F10028002,58409L306,MEDEQUITIES REALTY TRUST INC,5450 ,64691.50 
LC1F10011002,584688105,MEDICINES CO/THE,4850 ,192593.50 
LC1F10028002,58513U101,MEET GROUP INC/THE,9075 ,43560.00 
LC1F10029002,589433101,MEREDITH CORP,1467 ,80318.25 
LC1F10029002,59001A102,MERITAGE HOMES CORP,2718 ,110214.90 
LC1F10028002,59100U108,META FINANCIAL GROUP INC,446 ,38868.90 
LC1F10026002,594918104,MICROSOFT CORP,7050 ,494205.00 
LC1F10026002,595017104,MICROCHIP TECHNOLOGY INC,5850 ,488065.50 
LC1F10011002,595137100,MICROSEMI CORP,3460 ,175145.20 
LC1F10011002,59870L106,MILACRON HOLDINGS CORP,1720 ,30667.60 
LC1F10029002,603158106,MINERALS TECHNOLOGIES INC,721 ,53534.25 
LC1F10026002,606822104,MITSUBISHI UFJ FINANCIAL GROUP,38300 ,239375.00 
LC1F10026002,609207105,MONDELEZ INTERNATIONAL INC,7650 ,359167.50 
LC1F10028002,609720107,MONMOUTH REAL ESTATE INVESTMEN,2725 ,40847.75 
LC1F10011002,609839105,MONOLITHIC POWER SYSTEMS INC,2200 ,216898.00 
LC1F10028002,620071100,MOTORCAR PARTS OF AMERICA INC,1550 ,45926.50 
LC1F10029002,628778102,NBT BANCORP INC,2933 ,105675.99 
LC1F40020002,62942M201,NTT DOCOMO INC,4476 ,110378.16 
LC1F10026002,636180101,NATIONAL FUEL GAS CO,4200 ,237174.00 
LC1F40020002,636274409,NATIONAL GRID PLC,4142 ,283009.93 
LC1F10011002,637870106,NATIONAL STORAGE AFFILIATES TR,6360 ,153021.60 
LC1F10011002,63888U108,NATURAL GROCERS BY VITAMIN COT,4850 ,48936.50 
LC1F10011002,640268108,NEKTAR THERAPEUTICS,11520 ,230400.00 
LC1F40020002,641069406,NESTLE SA,3505 ,299358.55 
LC1F10029002,64115T104,NETSCOUT SYSTEMS INC,2977 ,111190.95 
LC1F10011002,64125C109,NEUROCRINE BIOSCIENCES INC,4320 ,194788.80 
LC1F10011002,64157F103,NEVRO CORP,1860 ,129716.40 
LC1F10028002,649295102,NEW YORK & CO INC,4000 ,6000.00 
LC1F10028002,651718504,NEWPARK RESOURCES INC,6375 ,48131.25 
LC1F10011002,65336K103,NEXSTAR MEDIA GROUP INC,2700 ,156735.00 
LC1F10011002,653656108,NICE LTD,1940 ,154656.80 
LC1F10028002,663904209,NORTHEAST BANCORP,998 ,19560.80 
LC1F10028002,666762109,NORTHRIM BANCORP INC,675 ,20385.00 
LC1F10028002,667746101,NORTHWEST PIPE CO,2925 ,43056.00 
LC1F10029002,668074305,NORTHWESTERN CORP,1100 ,68684.00 
LC1F40020002,66987V109,NOVARTIS AG,4366 ,357400.76 
LC1F10026002,66987V109,NOVARTIS AG,4450 ,364277.00 
LC1F10029002,674215108,OASIS PETROLEUM INC,6959 ,69172.46 
LC1F10029002,680665205,OLIN CORP,5338 ,159019.02 
LC1F10028002,68162K106,OLYMPIC STEEL INC,2375 ,41016.25 
LC1F10011002,68213N109,OMNICELL INC,7010 ,287760.50 
LC1F10029002,682189105,ON SEMICONDUCTOR CORP,8485 ,132196.30 
LC1F10028002,68243Q106,1-800-FLOWERS.COM INC,5500 ,55000.00 
LC1F10028002,684000102,OPUS BANK,2325 ,51033.75 
LC1F10011002,68555P100,ORBCOMM INC,7690 ,79745.30 
LC1F10028002,68628V308,ORION GROUP HOLDINGS INC,5225 ,38247.00 
LC1F10026002,688239201,OSHKOSH CORP,5700 ,372267.00 
LC1F10029002,690732102,OWENS & MINOR INC,2499 ,81142.53 
LC1F10026002,693506107,PPG INDUSTRIES INC,3050 ,332938.00 
LC1F10029002,69370C100,PTC INC,2014 ,116389.06 
LC1F10028002,69423U305,PACIFIC ETHANOL INC,5100 ,31110.00 
LC1F10011002,69478X105,PACIFIC PREMIER BANCORP INC,3900 ,136305.00 
LC1F10011002,695127100,PACIRA PHARMACEUTICALS INC/DE,3260 ,145722.00 
LC1F10029002,703481101,PATTERSON-UTI ENERGY INC,6285 ,136573.05 
LC1F10026002,70450Y103,PAYPAL HOLDINGS INC,6200 ,329592.00 
LC1F10028002,709789101,PEOPLES BANCORP INC/OH,2325 ,72609.75 
LC1F10026002,718546104,PHILLIPS 66,4450 ,340959.00 
LC1F10028002,719405102,PHOTRONICS INC,4450 ,45390.00 
LC1F10029002,72348P104,PINNACLE FOODS INC,1616 ,106930.72 
LC1F10026002,723787107,PIONEER NATURAL RESOURCES CO,1550 ,258803.50 
LC1F10028002,73102V105,POLAR POWER INC,1375 ,7108.75 
LC1F10029002,74164F103,PRIMORIS SERVICES CORP,3615 ,88675.95 
LC1F10029002,74267C106,PROASSURANCE CORP,448 ,26835.20 
LC1F10011002,743424103,PROOFPOINT INC,3220 ,287320.60 
LC1F10029002,743606105,PROSPERITY BANCSHARES INC,1510 ,97198.70 
LC1F40020002,74728G605,QBE INSURANCE GROUP LTD,20811 ,200701.28 
LC1F10011002,74736A103,QTS REALTY TRUST INC,2840 ,150065.60 
LC1F10028002,74934Q108,RCI HOSPITALITY HOLDINGS INC,1525 ,31811.50 
LC1F40020002,74975E303,RWE AG,7559 ,154521.08 
LC1F10028002,74975N105,RTI SURGICAL INC,9450 ,49612.50 
LC1F10028002,75134P303,RAMACO RESOURCES INC,3050 ,18727.00 
LC1F10029002,751452202,RAMCO-GERSHENSON PROPERTIES TR,4295 ,54890.10 
LC1F10029002,758750103,REGAL BELOIT CORP,766 ,62620.50 
LC1F10028002,76680V108,RING ENERGY INC,3521 ,45773.00 
LC1F40020002,780259107,ROYAL DUTCH SHELL PLC,5743 ,323847.77 
LC1F40020002,780259206,ROYAL DUTCH SHELL PLC,205 ,11162.25 
LC1F10028002,781270103,RUDOLPH TECHNOLOGIES INC,2125 ,51212.50 
LC1F10011002,781846209,RUSH ENTERPRISES INC,4750 ,173992.50 
LC1F10011002,783549108,RYDER SYSTEM INC,3760 ,250491.20 
LC1F10029002,783859101,S&T BANCORP INC,2297 ,78166.91 
LC1F10028002,78425V104,SI FINANCIAL GROUP INC,1400 ,21350.00 
LC1F10029002,78454L100,SM ENERGY CO,4377 ,73664.91 
LC1F10029002,78709Y105,SAIA INC,1276 ,60035.80 
LC1F40020002,80105N105,SANOFI,8653 ,426419.84 
LC1F40020002,803054204,SAP SE,3665 ,392594.80 
LC1F10029002,810186106,SCOTTS MIRACLE-GRO CO/THE,829 ,72960.29 
LC1F10029002,816300107,SELECTIVE INSURANCE GROUP INC,3931 ,200284.45 
LC1F10029002,817565104,SERVICE CORP INTERNATIONAL/US,2254 ,72759.12 
LC1F10028002,82620P102,SIERRA BANCORP,1850 ,44992.00 
LC1F40020002,82929R304,SINGAPORE TELECOMMUNICATIONS L,9190 ,251962.23 
LC1F10011002,835451105,SONIC CORP,7710 ,229603.80 
LC1F10029002,835451105,SONIC CORP,2216 ,65992.48 
LC1F10028002,843395104,SOUTHERN NATIONAL BANCORP OF V,1575 ,27641.25 
LC1F10029002,844895102,SOUTHWEST GAS HOLDINGS INC,1428 ,115196.76 
LC1F10011002,848577102,SPIRIT AIRLINES INC,3200 ,173952.00 
LC1F10028002,84863T106,SPOK HOLDINGS INC,975 ,16867.50 
LC1F10029002,853666105,STANDARD MOTOR PRODUCTS INC,1018 ,50258.66 
LC1F10028002,859241101,STERLING CONSTRUCTION CO INC,5600 ,57120.00 
LC1F10029002,860630102,STIFEL FINANCIAL CORP,2249 ,98843.55 
LC1F10029002,866082100,SUMMIT HOTEL PROPERTIES INC,5146 ,93142.60 
LC1F10011002,86614U100,SUMMIT MATERIALS INC,6370 ,172690.70 
LC1F10029002,86800U104,SUPER MICRO COMPUTER INC,2679 ,66037.35 
LC1F10029002,871607107,SYNOPSYS INC,2640 ,197815.20 
LC1F10028002,871851101,SYSTEMAX INC,575 ,9665.75 
LC1F10029002,87305R109,TTM TECHNOLOGIES INC,4338 ,71099.82 
LC1F10011002,87336U105,TABLEAU SOFTWARE INC,3060 ,191035.80 
LC1F40020002,874039100,TAIWAN SEMICONDUCTOR MANUFACTU,9891 ,354987.99 
LC1F40020002,874060205,TAKEDA PHARMACEUTICAL CO LTD,16058 ,413894.95 
LC1F10029002,878237106,TECH DATA CORP,999 ,102966.93 
LC1F10029002,879369106,TELEFLEX INC,327 ,66753.78 
LC1F40020002,879382208,TELEFONICA SA,29991 ,336798.93 
LC1F40020002,87960M205,TELIA CO AB,40646 ,374756.12 
LC1F10029002,880349105,TENNECO INC,1276 ,74952.24 
LC1F10029002,880770102,TERADYNE INC,3832 ,135691.12 
LC1F10028002,88145X108,TERRITORIAL BANCORP INC,1600 ,49024.00 
LC1F10011002,881569107,TESARO INC,440 ,65656.80 
LC1F40020002,881575302,TESCO PLC,49337 ,350687.40 
LC1F10028002,88157K101,TESCO CORP,5775 ,27720.00 
LC1F10029002,882681109,TEXAS ROADHOUSE INC,1276 ,63583.08 
LC1F10026002,887317303,TIME WARNER INC,3396 ,338581.20 
LC1F40020002,889094108,TOKIO MARINE HOLDINGS INC,7942 ,340378.24 
LC1F40020002,89151E109,TOTAL SA,766 ,39908.60 
LC1F10029002,903293405,USG CORP,3561 ,102734.85 
LC1F10011002,90385D107,ULTIMATE SOFTWARE GROUP INC/TH,845 ,188468.80 
LC1F10029002,904214103,UMPQUA HOLDINGS CORP,5890 ,101602.50 
LC1F10029002,904708104,UNIFIRST CORP/MA,510 ,72777.00 
LC1F40020002,904767704,UNILEVER PLC,3677 ,206206.16 
LC1F10026002,904784709,UNILEVER NV,7050 ,401991.00 
LC1F10028002,909839102,UNITED COMMUNITY FINANCIAL COR,6750 ,54540.00 
LC1F10028002,910710102,UNITED INSURANCE HOLDINGS CORP,3325 ,54895.75 
LC1F40020002,911271302,UNITED OVERSEAS BANK LTD,11081 ,371291.07 
LC1F10011002,91325V108,UNITI GROUP INC,4040 ,103262.40 
LC1F10011002,91336L107,UNIVAR INC,6920 ,215973.20 
LC1F10028002,913837100,UNIVERSAL STAINLESS & ALLOY PR,2325 ,40989.75 
LC1F10029002,91843L103,VWR CORP,2169 ,71577.00 
LC1F10011002,91879Q109,VAIL RESORTS INC,1299 ,278856.33 
LC1F10029002,919794107,VALLEY NATIONAL BANCORP,9248 ,106074.56 
LC1F40010002,921943858,VANGUARD FTSE DEVELOPED ETF,258274 ,10801018.68 
LC1F10029002,925550105,VIAVI SOLUTIONS INC,3341 ,38655.37 
LC1F10029002,928298108,VISHAY INTERTECHNOLOGY INC,7400 ,123580.00 
LC1F10011002,92932M101,WNS HOLDINGS LTD,6110 ,204012.90 
LC1F10011002,930427109,WAGEWORKS INC,1720 ,124270.00 
LC1F10026002,931427108,WALGREENS BOOTS ALLIANCE INC,4950 ,406791.00 
LC1F10029002,939653101,WASHINGTON REAL ESTATE INVESTM,3168 ,103308.48 
LC1F10028002,940610108,WASHINGTON TRUST BANCORP INC,875 ,42481.25 
LC1F10011002,942622200,WATSCO INC,1035 ,148750.20 
LC1F10029002,947890109,WEBSTER FINANCIAL CORP,4126 ,204525.82 
LC1F10029002,950755108,WERNER ENTERPRISES INC,3636 ,99444.60 
LC1F10029002,950810101,WESBANCO INC,2743 ,103740.26 
LC1F10029002,95082P105,WESCO INTERNATIONAL INC,860 ,53320.00 
