Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
NPSF10033002,004498101,ACI WORLDWIDE INC,"11,007.000","265,048.56"
LC1F10011002,00461U105,ACLARIS THERAPEUTICS INC,"5,780.000","145,713.80"
NPSF10018002,00461U105,ACLARIS THERAPEUTICS INC,"34,460.000","868,736.60"
NPSF20012002,00507UAM3,ALLERGAN FUNDING SCS,"193,000.000","193,443.90"
NPSF30018002,00507UAR2,ALLERGAN FUNDING SCS,"120,000.000","123,222.00"
NPSF20012002,00507UAS0,ALLERGAN FUNDING SCS,"190,000.000","194,689.20"
NPSF20015002,00507UAS0,ALLERGAN FUNDING SCS,"270,000.000","276,663.60"
NPSF30018002,00507UAS0,ALLERGAN FUNDING SCS,"170,000.000","174,195.60"
NPSF30018002,00507UAT8,ALLERGAN FUNDING SCS,"20,000.000","21,032.60"
NPSF30018002,00507UAU5,ALLERGAN FUNDING SCS,"17,000.000","17,933.64"
NPSF30018002,00507VAE9,ACTIVISION BLIZZARD INC 144A,"70,000.000","74,617.20"
NPSF10033002,005125109,ACXIOM CORP,"7,973.000","200,600.68"
NPSF10034002,005125109,ACXIOM CORP,"5,040.000","126,806.40"
NPSF30018002,006ESCBE6,ESCROW CB ADELPHIA COM,"130,000.000",0.00
LC1F10026002,00724F101,ADOBE SYSTEMS INC,"4,200.000","735,672.00"
NPSF10035002,00724F101,ADOBE SYSTEMS INC,"22,200.000","3,888,552.00"
NPSF10033002,00737L103,ADTALEM GLOBAL EDUCATION INC,"11,152.000","412,066.40"
LC1F20010002,00751YAC0,ADVANCE AUTO PARTS INC,"300,000.000","314,007.00"
NPSF20015002,00764MEL7,AEGIS ASSET BACKED SECURI 1 M2,"11,179.080","11,179.08"
NPSF10033002,00766T100,AECOM,"27,784.000","974,107.04"
LC1F10028002,00770F104,AEGION CORP,"2,050.000","47,744.50"
NPSF10037002,00770F104,AEGION CORP,"28,025.000","652,702.25"
NPSF20011002,00774CAB3,AECOM,"465,000.000","478,368.75"
NPSF30018002,007944AC5,ADVENTIST HEALTH SYSTEM/WEST,"1,600,000.000","1,579,488.00"
NPSF10030002,007973100,ADVANCED ENERGY INDUSTRIES INC,"12,365.000","1,047,562.80"
LC1F20010002,007989494,PIA MBS BOND FUND,"68,394.295","651,113.69"
LC1F20010002,007989577,PIA BBB BOND FUND,"77,251.110","724,615.41"
NPSF20012002,008117AP8,AETNA INC,"50,000.000","50,312.50"
NPSF20012002,00817YAQ1,AETNA INC,"22,000.000","22,431.64"
NPSF20012002,00817YAV0,AETNA INC,"40,000.000","39,750.40"
NPSF20015002,00817YAV0,AETNA INC,"325,000.000","322,972.00"
NPSF30018002,00817YAV0,AETNA INC,"30,000.000","29,812.80"
NPSF20012002,00846UAC5,AGILENT TECHNOLOGIES INC,"42,000.000","42,000.00"
LC1F20010002,00846UAH4,AGILENT TECHNOLOGIES INC,"280,000.000","285,294.80"
NPSF20011002,008911AZ2,AIR CANADA 144A,"415,000.000","474,137.50"
NPSF20011002,009089AC7,AIR CANADA 2013-1 CLASS C 144A,"120,000.000","122,850.00"
NPSF20011002,009090AC5,AIR CANADA 2015-1 CLASS C 144A,"70,000.000","71,575.00"
NPSF30015002,009126202,AIR LIQUIDE SA,"228,317.100","5,814,323.27"
NPSF20012002,00913RAB2,AIR LIQUIDE FINANCE SA 144A,"200,000.000","195,284.00"
NPSF20012002,00913RAD8,AIR LIQUIDE FINANCE SA 144A,"200,000.000","191,724.00"
NPSF10034002,009728106,AKORN INC,"13,646.000","444,450.22"
NPSF10030002,011642105,ALARM.COM HOLDINGS INC,"22,777.000","1,063,230.36"
NPSF20011002,013104AF1,NEW ALBERTSON'S INC,"365,000.000","302,037.50"
NPSF30018002,013822AA9,ALCOA NEDERLAND HOLDING B 144A,"200,000.000","222,304.00"
LC1F10029002,014491104,ALEXANDER & BALDWIN INC,"1,431.000","64,738.44"
NPSF10034002,014491104,ALEXANDER & BALDWIN INC,"3,631.000","164,266.44"
NPSF10019002,014491104,ALEXANDER & BALDWIN INC,"15,051.000","680,907.24"
NPSF10033002,014491104,ALEXANDER & BALDWIN INC,"3,700.000","167,388.00"
NPSF20015002,015271AJ8,ALEXANDRIA REAL ESTATE EQUITIE,"350,000.000","358,582.00"
NPSF30015002,015393101,ALFA LAVAL AB,"80,160.000","2,030,853.60"
NPSF10033002,017175100,ALLEGHANY CORP,"2,732.000","1,546,913.04"
NPSF10033002,01741R102,ALLEGHENY TECHNOLOGIES INC,"19,204.000","483,556.72"
LC1F20010002,01748NAE4,ALLEGION US HOLDING CO INC,"210,000.000","209,577.90"
LC1F10029002,018522300,ALLETE INC,"1,068.000","83,677.80"
NPSF10019002,018522300,ALLETE INC,"11,240.000","880,654.00"
NPSF20011002,018581AG3,ALLIANCE DATA SYSTEMS COR 144A,"325,000.000","331,500.00"
NPSF20011002,018581AJ7,ALLIANCE DATA SYSTEMS COR 144A,"1,255,000.000","1,298,925.00"
LC1F40020002,018805101,ALLIANZ SE,"15,758.000","365,948.03"
NPSF30015002,018805101,ALLIANZ SE,"188,270.000","4,372,194.21"
NPSF30017002,018805101,ALLIANZ SE,"186,110.000","4,322,032.53"
NPSF30018002,019736AD9,ALLISON TRANSMISSION INC 144A,"160,000.000","166,800.00"
NPSF20011002,019736AD9,ALLISON TRANSMISSION INC 144A,"615,000.000","641,137.50"
NPSF10033002,01988P108,ALLSCRIPTS HEALTHCARE SOLUTION,"31,852.000","429,364.96"
NPSF30018002,01F0224B8,COMMIT TO PUR FNMA SF MTG,"3,100,000.000","3,114,043.00"
NPSF30018002,01F0304B1,COMMIT TO PUR FNMA SF MTG,"700,000.000","717,283.00"
NPSF30018002,01F0306B9,COMMIT TO PUR FNMA SF MTG,"2,600,000.000","2,601,430.00"
NPSF20015002,01F0306B9,COMMIT TO PUR FNMA SF MTG,"890,000.000","890,489.50"
NPSF30018002,01F032690,COMMIT TO PUR FNMA SF MTG,"1,300,000.000- ","1,341,145.00- "
NPSF30018002,01F032690,COMMIT TO PUR FNMA SF MTG,"1,300,000.000","1,341,145.00"
NPSF30018002,01F0326A7,COMMIT TO PUR FNMA SF MTG,"1,200,000.000- ","1,234,440.00- "
NPSF30018002,01F0326A7,COMMIT TO PUR FNMA SF MTG,"1,200,000.000","1,234,440.00"
NPSF20015002,01F0326B5,COMMIT TO PUR FNMA SF MTG,"3,520,000.000","3,618,595.20"
NPSF30018002,01F0326B5,COMMIT TO PUR FNMA SF MTG,"1,800,000.000","1,850,418.00"
NPSF20015002,01F0406B8,COMMIT TO PUR FNMA SF MTG,"955,000.000","1,002,377.55"
NPSF30018002,01F0406B8,COMMIT TO PUR FNMA SF MTG,"700,000.000","734,727.00"
NPSF30018002,01F0406C6,COMMIT TO PUR FNMA SF MTG,"300,000.000","314,409.00"
NPSF20015002,01F0426B4,COMMIT TO PUR FNMA SF MTG,"5,160,000.000","5,517,175.20"
NPSF30018002,01F050692,COMMIT TO PUR FNMA SF MTG,"600,000.000- ","654,192.00- "
NPSF30018002,01F050692,COMMIT TO PUR FNMA SF MTG,"600,000.000","654,192.00"
NPSF30018002,01F0506B7,COMMIT TO PUR FNMA SF MTG,"1,500,000.000","1,628,310.00"
NPSF20011002,02005NAE0,ALLY FINANCIAL INC,"595,000.000","668,631.25"
NPSF20011002,02005NAJ9,ALLY FINANCIAL INC,"484,000.000","545,105.00"
NPSF20011002,02005NBF6,ALLY FINANCIAL INC,"395,000.000","435,981.25"
LC1F10028002,020409108,ALMOST FAMILY INC,"1,300.000","57,525.00"
NPSF10037002,020409108,ALMOST FAMILY INC,"18,000.000","796,500.00"
NPSF20011002,02154CAC7,ALTICE FINANCING SA 144A,"275,000.000","284,625.00"
NPSF20011002,02154EAD1,ALTICE FINCO SA 144A,"650,000.000","696,410.00"
NPSF20011002,02154VAA9,ALTICE LUXEMBOURG SA 144A,"400,000.000","423,500.00"
NPSF20011002,02154VAB7,ALTICE LUXEMBOURG SA 144A,"270,000.000","292,950.00"
LC1F10029002,02208R106,ALTRA INDUSTRIAL MOTION CORP,"2,186.000","104,709.40"
NPSF10019002,02208R106,ALTRA INDUSTRIAL MOTION CORP,"21,966.000","1,052,171.40"
NPSF20012002,02209SAN3,ALTRIA GROUP INC,"80,000.000","81,116.00"
NPSF20012002,023135AN6,AMAZON.COM INC,"40,000.000","42,606.40"
NPSF30018002,023135AQ9,AMAZON.COM INC,"140,000.000","164,161.20"
NPSF20012002,023135BA3,AMAZON.COM INC 144A,"125,000.000","125,747.50"
NPSF30018002,023135BA3,AMAZON.COM INC 144A,"210,000.000","211,255.80"
NPSF30018002,023135BD7,AMAZON.COM INC 144A,"90,000.000","93,291.30"
NPSF30018002,023135BG0,AMAZON.COM INC 144A,"110,000.000","112,860.00"
NPSF20015002,02343UAA3,AMCOR FINANCE USA INC 144A,"200,000.000","198,498.00"
NPSF30018002,02364WAV7,AMERICA MOVIL SAB DE CV,"460,000.000","489,292.80"
NPSF20015002,023650AG9,AMERICA WEST AIRLINES 2000-1 P,"189,356.010","213,025.51"
NPSF20011002,02376TAC2,AMERICAN AIRLINES 2013-2 144A,"424,466.840","444,365.85"
NPSF20011002,02406PAP5,AMERICAN AXLE & MANUFACTU 144A,"175,000.000","179,375.00"
NPSF20011002,02406PAS9,AMERICAN AXLE & MANUFACTU 144A,"605,000.000","617,856.25"
NPSF30018002,02474RAE3,ABC SUPPLY 4/17 COV-LITE TLB,"228,850.000","230,161.31"
NPSF10034002,024835100,AMERICAN CAMPUS COMMUNITIES IN,"11,714.000","487,068.12"
NPSF10033002,024835100,AMERICAN CAMPUS COMMUNITIES IN,"9,867.000","410,269.86"
NPSF40028002,024898108,AMERICAN CAP CORP,"769,816.000",0.00
NPSF40028002,024898207,AMERICA CAPITAL CORP,"656,500.000",0.00
NPSF10033002,02553E106,AMERICAN EAGLE OUTFITTERS INC,"29,653.000","386,082.06"
LC1F10029002,025676206,AMERICAN EQUITY INVESTMENT LIF,"4,438.000","130,965.38"
NPSF10019002,025676206,AMERICAN EQUITY INVESTMENT LIF,"48,463.000","1,430,143.13"
NPSF20015002,025816BG3,AMERICAN EXPRESS CO,"500,000.000","499,785.00"
NPSF10033002,025932104,AMERICAN FINANCIAL GROUP INC/O,"12,171.000","1,283,918.79"
NPSF30018002,026874DD6,AMERICAN INTERNATIONAL GROUP I,"180,000.000","186,100.20"
NPSF20012002,026874DH7,AMERICAN INTERNATIONAL GROUP I,"90,000.000","93,275.10"
NPSF30018002,02R0306B4,COMMIT TO PUR FHLMC GOLD SFM,"1,400,000.000","1,401,204.00"
NPSF20015002,02R0326B0,COMMIT TO PUR FHLMC GOLD SFM,"795,000.000","817,267.95"
NPSF30018002,02R0326B0,COMMIT TO PUR FHLMC GOLD SFM,"3,800,000.000","3,906,438.00"
NPSF30018002,02R0326C8,COMMIT TO PUR FHLMC GOLD SFM,"2,500,000.000","2,565,375.00"
NPSF20015002,02R0406B3,COMMIT TO PUR FHLMC GOLD SFM,"880,000.000","923,516.00"
NPSF30018002,02R0406B3,COMMIT TO PUR FHLMC GOLD SFM,"5,600,000.000","5,876,920.00"
NPSF30018002,02R0426B9,COMMIT TO PUR FHLMC GOLD SFM,"2,000,000.000","2,136,560.00"
NPSF20012002,03066DAD8,AMERICREDIT AUTOMOBILE RE 2 A3,"130,000.000","129,897.30"
LC1F10026002,03076C106,AMERIPRISE FINANCIAL INC,"3,200.000","500,928.00"
NPSF10035002,03076C106,AMERIPRISE FINANCIAL INC,"17,100.000","2,676,834.00"
NPSF20011002,030981AL8,AMERIGAS PARTNERS LP / AMERIGA,"310,000.000","316,587.50"
LC1F10026002,031162100,AMGEN INC,"1,900.000","332,918.00"
NPSF10035002,031162100,AMGEN INC,"10,200.000","1,787,244.00"
NPSF20012002,031162BN9,AMGEN INC,"280,000.000","292,384.40"
NPSF20012002,031162BW9,AMGEN INC,"125,000.000","124,878.75"
NPSF20015002,031162CF5,AMGEN INC,"200,000.000","216,300.00"
NPSF20012002,031162CM0,AMGEN INC,"60,000.000","60,130.80"
LC1F20010002,032095AC5,AMPHENOL CORP,"300,000.000","302,244.00"
NPSF20011002,03232PAD0,ENVISION HEALTHCARE CORP,"255,000.000","259,462.50"
NPSF30018002,032511AY3,ANADARKO PETROLEUM CORP,"20,000.000","24,284.40"
NPSF30018002,032511BK2,ANADARKO PETROLEUM CORP,"440,000.000","429,682.00"
NPSF20015002,032511BK2,ANADARKO PETROLEUM CORP,"80,000.000","78,124.00"
NPSF30018002,032511BM8,ANADARKO PETROLEUM CORP,"220,000.000","233,620.20"
NPSF20012002,032511BN6,ANADARKO PETROLEUM CORP,"210,000.000","236,281.50"
NPSF30018002,032511BP1,ANADARKO PETROLEUM CORP,"200,000.000","252,856.00"
NPSF20012002,032654AN5,ANALOG DEVICES INC,"35,000.000","35,516.60"
LC1F10029002,03349M105,ANDEAVOR,885.000,"94,022.40"
NPSF10019002,03349M105,ANDEAVOR,"8,890.000","944,473.60"
LC1F10028002,03475V101,ANGIODYNAMICS INC,"3,875.000","65,758.75"
NPSF10037002,03475V101,ANGIODYNAMICS INC,"53,075.000","900,682.75"
NPSF30018002,034863AR1,ANGLO AMERICAN CAPITAL PL 144A,"210,000.000","221,991.00"
NPSF30018002,034863AT7,ANGLO AMERICAN CAPITAL PL 144A,"200,000.000","200,200.00"
NPSF30018002,03523TBP2,ANHEUSER-BUSCH INBEV WORLDWIDE,"440,000.000","440,902.00"
NPSF30018002,035242AJ5,ANHEUSER-BUSCH INBEV FINANCE I,"140,000.000","141,786.40"
NPSF30018002,035242AL0,ANHEUSER-BUSCH INBEV FINANCE I,"270,000.000","277,924.50"
NPSF20015002,035242AN6,ANHEUSER-BUSCH INBEV FINANCE I,"219,000.000","246,289.59"
NPSF30018002,035242AN6,ANHEUSER-BUSCH INBEV FINANCE I,"350,000.000","393,613.50"
NPSF30018002,035242AP1,ANHEUSER-BUSCH INBEV FINANCE I,"450,000.000","464,346.00"
NPSF20012002,035242AP1,ANHEUSER-BUSCH INBEV FINANCE I,"9,000.000","9,286.92"
NPSF20015002,035242AP1,ANHEUSER-BUSCH INBEV FINANCE I,"249,000.000","256,938.12"
LC1F10026002,03662Q105,ANSYS INC,"2,900.000","396,459.00"
NPSF10035002,03662Q105,ANSYS INC,"15,600.000","2,132,676.00"
NPSF20011002,03674PAL7,ANTERO RESOURCES CORP,"195,000.000","200,118.75"
NPSF20011002,03674XAF3,ANTERO RESOURCES CORP,"45,000.000","47,137.50"
NPSF20011002,03674XAJ5,ANTERO RESOURCES CORP,"520,000.000","527,800.00"
NPSF20012002,037389AW3,AON CORP,"160,000.000","172,139.20"
NPSF30018002,037411BA2,APACHE CORP,"200,000.000","204,026.00"
NPSF30018002,037411BC8,APACHE CORP,"340,000.000","324,421.20"
NPSF20015002,037735CV7,APPALACHIAN POWER CO,"270,000.000","295,034.40"
NPSF20012002,037833AR1,APPLE INC,"90,000.000","92,231.10"
NPSF20012002,037833BD1,APPLE INC,"200,000.000","200,654.00"
NPSF20012002,037833BY5,APPLE INC,"150,000.000","153,619.50"
NPSF30018002,037833BZ2,APPLE INC,"260,000.000","251,303.00"
NPSF20012002,037833BZ2,APPLE INC,"175,000.000","169,146.25"
NPSF20012002,037833CJ7,APPLE INC,"200,000.000","205,224.00"
NPSF20012002,037833CU2,APPLE INC,"150,000.000","151,551.00"
NPSF20012002,038222AJ4,APPLIED MATERIALS INC,"55,000.000","58,986.40"
NPSF10034002,038336103,APTARGROUP INC,"4,195.000","365,258.65"
NPSF10033002,038336103,APTARGROUP INC,"6,009.000","523,203.63"
NPSF10033002,03836W103,AQUA AMERICA INC,"15,046.000","533,832.08"
NPSF10034002,03836W103,AQUA AMERICA INC,"13,439.000","476,815.72"
NPSF30018002,03938LAX2,ARCELORMITTAL,"30,000.000","34,500.00"
NPSF20012002,03939CAA1,ARCH CAPITAL FINANCE LLC,"25,000.000","25,992.75"
LC1F10026002,039483102,ARCHER-DANIELS-MIDLAND CO,"6,200.000","253,394.00"
NPSF10035002,039483102,ARCHER-DANIELS-MIDLAND CO,"32,900.000","1,344,623.00"
LC1F20010002,039483BL5,ARCHER-DANIELS-MIDLAND CO,"220,000.000","210,843.60"
NPSF20011002,03969AAH3,ARDAGH PACKAGING FINANCE 144A,"400,000.000","411,000.00"
NPSF30018002,040104CU3,ARGENT SECURITIES INC AS W6 M1,"773,020.206","760,644.15"
NPSF10030002,04010E109,ARGAN INC,"14,202.000","976,387.50"
NPSF30018002,040114GW4,ARGENTINE REPUBLIC GOVERNMENT,"160,000.000","174,400.00"
NPSF30018002,040114GX2,ARGENTINE REPUBLIC GOVERNMENT,"150,000.000","169,500.00"
NPSF30018002,040114HK9,ARGENTINE REPUBLIC GOVERNMENT,"730,000.000","766,500.00"
NPSF10033002,042735100,ARROW ELECTRONICS INC,"15,646.000","1,307,849.14"
NPSF10030002,04316A108,ARTISAN PARTNERS ASSET MANAGEM,"27,517.000","946,584.80"
LC1F10029002,043436104,ASBURY AUTOMOTIVE GROUP INC,659.000,"40,462.60"
NPSF10019002,043436104,ASBURY AUTOMOTIVE GROUP INC,"6,618.000","406,345.20"
NPSF10033002,044186104,ASHLAND GLOBAL HOLDINGS INC,"11,067.000","752,334.66"
NPSF30015002,04530Y106,ASPEN PHARMACARE HOLDINGS LTD,"54,600.000","1,233,414.00"
NPSF10033002,045487105,ASSOCIATED BANC-CORP,"26,843.000","679,127.90"
LC1F10029002,047649108,ATKORE INTERNATIONAL GROUP INC,"3,411.000","65,866.41"
NPSF10019002,047649108,ATKORE INTERNATIONAL GROUP INC,"35,892.000","693,074.52"
NPSF30015002,049255706,ATLAS COPCO AB,"49,640.000","2,177,309.68"
NPSF10033002,049560105,ATMOS ENERGY CORP,"18,801.000","1,640,199.24"
NPSF20012002,052769AE6,AUTODESK INC,"30,000.000","29,904.30"
NPSF10033002,05329W102,AUTONATION INC,"11,582.000","548,986.80"
LC1F10011002,05366U100,AVEXIS INC,"1,750.000","182,892.50"
NPSF10018002,05366U100,AVEXIS INC,"10,460.000","1,093,174.60"
NPSF10034002,053774105,AVIS BUDGET GROUP INC,"10,594.000","437,002.50"
NPSF10033002,053807103,AVNET INC,"21,821.000","868,475.80"
NPSF20012002,053807AS2,AVNET INC,"20,000.000","20,858.80"
NPSF30018002,05400KAB6,AVOLON 3/17 COV-LITE TLB2,"997,500.000","1,004,921.40"
NPSF10033002,054303102,AVON PRODUCTS INC,"76,600.000","174,648.00"
NPSF20011002,05453GAA3,AXALTA COATING SYSTEMS LL 144A,"575,000.000","600,875.00"
NPSF30018002,05490TAG7,BBCCRE TRUST 2015-G GTP D 144A,"560,000.000","521,730.16"
NPSF20012002,05523UAM2,BAE SYSTEMS HOLDINGS INC 144A,"25,000.000","25,272.00"
NPSF20012002,05523UAP5,BAE SYSTEMS HOLDINGS INC 144A,"10,000.000","10,430.20"
NPSF20015002,05524VAA5,BAMLL TRUST 2011-F FSHN A 144A,"175,000.000","186,124.75"
NPSF20012002,05526DAY1,BAT CAPITAL CORP 144A,"200,000.000","201,322.00"
NPSF30018002,05526DBA2,BAT CAPITAL CORP 144A,"670,000.000","671,661.60"
NPSF30018002,05526DBE4,BAT CAPITAL CORP 144A,"280,000.000","288,192.80"
NPSF30015002,05530H100,BBA AVIATION PLC,"40,790.000","861,811.12"
LC1F20010002,05531FAU7,BB&T CORP,"270,000.000","274,212.00"
NPSF30018002,055451AQ1,BHP BILLITON FINANCE USA LTD,"15,000.000","15,337.20"
NPSF30018002,055451AX6,BHP BILLITON FINANCE USA 144A,"220,000.000","259,050.00"
LC1F10026002,05561Q201,BOK FINANCIAL CORP,"2,400.000","207,528.00"
NPSF10035002,05561Q201,BOK FINANCIAL CORP,"13,000.000","1,124,110.00"
LC1F40020002,055622104,BP PLC,"9,306.000","378,475.02"
NPSF30017002,055622104,BP PLC,"113,855.000","4,630,482.85"
NPSF20012002,05565AAN3,BNP PARIBAS SA 144A,"230,000.000","265,650.00"
NPSF30018002,05565QDA3,BP CAPITAL MARKETS PLC,"270,000.000","279,325.80"
NPSF30018002,05565QDB1,BP CAPITAL MARKETS PLC,"230,000.000","231,897.50"
NPSF30018002,05565QDG0,BP CAPITAL MARKETS PLC,"240,000.000","246,424.80"
NPSF30018002,05581KAC5,BNP PARIBAS SA 144A,"260,000.000","278,072.60"
NPSF20012002,05581KAC5,BNP PARIBAS SA 144A,"200,000.000","213,902.00"
NPSF20012002,05583JAA0,BPCE SA 144A,"250,000.000","251,180.00"
LC1F10011002,05591B109,BMC STOCK HOLDINGS INC,"12,550.000","269,197.50"
NPSF10018002,05591B109,BMC STOCK HOLDINGS INC,"75,170.000","1,612,396.50"
NPSF20012002,05604FAA3,BWAY 2013-1515 MO 1515 A1 144A,"148,644.170","149,808.05"
NPSF20012002,05606YAA0,BXHTL 2015-JWRZ MO JWRZ A 144A,"200,000.000","200,000.00"
NPSF20015002,05618LAF3,BABSON CLO LTD 201 IIA AR 144A,"270,000.000","270,000.00"
NPSF30015002,056752108,BAIDU INC,"23,360.000","5,698,438.40"
NPSF20011002,058498AU0,BALL CORP,"420,000.000","441,000.00"
NPSF20012002,059165EG1,BALTIMORE GAS & ELECTRIC CO,"350,000.000","332,542.00"
LC1F10026002,05946K101,BANCO BILBAO VIZCAYA ARGENTARI,"51,042.000","446,107.08"
NPSF30015002,05946K101,BANCO BILBAO VIZCAYA ARGENTARI,"471,410.000","4,120,123.40"
NPSF10035002,05946K101,BANCO BILBAO VIZCAYA ARGENTARI,"271,666.000","2,374,360.84"
LC1F40020002,05964H105,BANCO SANTANDER SA,"34,468.000","232,314.32"
NPSF30017002,05964H105,BANCO SANTANDER SA,"367,274.000","2,475,426.76"
NPSF10033002,059692103,BANCORPSOUTH INC,"15,021.000","474,663.60"
NPSF20015002,05991AAA5,BANC OF AMERICA FU R7 1A1 144A,"504,097.920","507,127.55"
LC1F10026002,060505104,BANK OF AMERICA CORP,"20,300.000","556,017.00"
NPSF10035002,060505104,BANK OF AMERICA CORP,"108,000.000","2,958,120.00"
NPSF20012002,060505DP6,BANK OF AMERICA CORP,"400,000.000","401,364.00"
NPSF20012002,06050TLY6,BANK OF AMERICA NA,"290,000.000","290,116.00"
NPSF20015002,06051GDX4,BANK OF AMERICA CORP,"460,000.000","468,855.00"
NPSF20012002,06051GET2,BANK OF AMERICA CORP,"93,000.000","93,071.61"
NPSF20012002,06051GEU9,BANK OF AMERICA CORP,"290,000.000","297,073.10"
NPSF20012002,06051GEX3,BANK OF AMERICA CORP,"300,000.000","301,980.00"
NPSF30018002,06051GFC8,BANK OF AMERICA CORP,"70,000.000","81,360.30"
NPSF20015002,06051GFF1,BANK OF AMERICA CORP,"500,000.000","529,760.00"
NPSF20012002,06051GFF1,BANK OF AMERICA CORP,"275,000.000","291,368.00"
NPSF30018002,06051GFF1,BANK OF AMERICA CORP,"1,370,000.000","1,451,542.40"
NPSF30018002,06051GFG9,BANK OF AMERICA CORP,"390,000.000","446,351.10"
NPSF20012002,06051GFH7,BANK OF AMERICA CORP,"330,000.000","348,483.30"
NPSF30018002,06051GFM6,BANK OF AMERICA CORP,"280,000.000","289,990.40"
NPSF20012002,06051GFN4,BANK OF AMERICA CORP,"285,000.000","285,205.20"
NPSF20012002,06051GFR5,BANK OF AMERICA CORP,"72,000.000","72,083.52"
NPSF30018002,06051GFS3,BANK OF AMERICA CORP,"200,000.000","209,724.00"
NPSF20012002,06051GFS3,BANK OF AMERICA CORP,"80,000.000","83,889.60"
NPSF30018002,06051GFU8,BANK OF AMERICA CORP,"40,000.000","42,529.20"
NPSF30018002,06051GFX2,BANK OF AMERICA CORP,"410,000.000","417,363.60"
NPSF20012002,06051GFZ7,BANK OF AMERICA CORP,"590,000.000","583,179.60"
NPSF20015002,06051GGF0,BANK OF AMERICA CORP,"208,000.000","214,165.12"
