acctid,Account,Name,CUSIP,Shares,Market Value,Ticker
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , CITIGROUP INC CALLABLE DTD 10/21/2016 3.2% 10/21/2026-2026 ,172967KY6,120000,118157,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , DEERE & COMPANY CALLABLE DTD 06/08/2012 2.6% 06/08/2022-2022 ,244199BE4,90000,91130,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , EXXON MOBIL CORP CALLABLE DTD 03/20/2014 3.176% 03/15/2024-2023 ,30231GAC6,110000,114198,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FAIRFAX CNTY VA BUILD AMERICA BONDS-SER E-TAXABL FED TAXABLE NON CALLABLE INSD:ST AID WITHL G/O 10/28/2009 4.15% 10/01/2018 ,3038204C5,35000,35934,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL HOME LOAN MORTGAGE CORP POOL# G15532 DTD 08/01/2015 4% 08/01/2030 ,3128MELM1,54757.11,58625,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL HOME LOAN MTGE CORP POOL #WA2801 DTD 03/01/2017 3.49% 10/01/2033 ,3132WWKP6,68571.32,69740,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL HOME LOAN MTG CORP VAR RT POOL #WN0007 DTD 05/01/2017 3.42% 10/01/2033 ,3132XEAH4,45000,46339,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL FARM CREDIT BANK FLT RT DTD 09/25/2017 09/25/2020 ,3133EHZK2,105000,104908,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FANNIE MAE SERIES 2013-10 CLASS GD DTD 01/01/2013 2% 02/25/2033 ,3136ACED9,73679.51,73029,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN SERIES 2014-M1 CLASS ASQ2 DTD 01/01/2014 2.323% 11/25/2018 ,3136AHUV0,67770.46,68179,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN SERIES 2016-42 CL GN DTD 06/01/16 2.5% 09/25/2045 ,3136AS2M7,76245.06,77457,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FREDDIE MAC SERIES K023 CLASS A2 DTD 12/01/2012 2.307% 08/25/2022 ,3137AWQH1,50000,50611,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL #464690 DTD 03/01/2010 4.54% 03/01/2020 ,31381MF75,23047.28,24293,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL #464933 DTD 05/01/2010 4.185% 04/01/2020 ,31381MPS8,17599.65,18434,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL# AS0082 DTD 07/01/2013 3.5% 08/01/2043 ,3138W9CU2,89641.19,93265,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL #BM1491 FLT RT DTD 07/01/2017 3.204% 01/01/2024 ,3140J5UR8,79575.29,80383,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL #984262 DTD 05/01/2008 6% 06/01/2023 ,31415MMK8,7958.91,8531,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL #MA1443 DTD 04/01/2013 2% 05/01/2023 ,31418AS90,105454.17,105892,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL #MA1529 DTD 07/01/2013 2.5% 08/01/2023 ,31418AVX3,70213.44,71062,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN POOL# AD0766 DTD 02/01/2010 7% 08/01/2036 ,31418MZ88,35433.68,41925,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FEDERAL NATIONAL MORTGAGE ASSN VAR RT POOL #AD9605 DTD 08/01/2010 3.565% 08/01/2040 ,31418XU71,19403.41,20334,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , FRANKLIN TENN BUILD AMER BD DIR PMT FED TAXABLE NON CALLABLE G/O 12/29/09 4.45% 03/01/2018 ,354730VX8,15000,15185,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GOVERNMENT NATIONAL MTGE ASSN II POOL #AC1428 DTD 12/01/2012 2.69% 06/15/2033 ,36179ASR8,147371.33,145220,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GOVERNMENT NATIONAL MTG ASSN POOL #AC3667 DTD 12/01/2012 1.66% 08/15/2026 ,36179DCC2,34336.17,33309,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GOVERNMENT NATL MTGE ASSN POOL #BB5549 DTD 07/01/2017 3.6% 12/15/2034 ,3617AWEW2,119204.73,122851,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GOVERNMENT NATIONAL MORTG ASSN POOL# AP3692 DTD 11/01/2015 4.05% 07/15/2051 ,36188RC55,87965.89,90268,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GOVT NATL MTG ASSN I POOL #AU4920 DTD 09/01/2016 3.02% 09/15/2041 ,36194SPD4,146087.68,143159,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GOVERNMENT NATIONAL MTG ASSN POOL #AI8404 DTD 08/01/2014 3.31% 05/15/2030 ,36198VKR7,202954.36,209222,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , GENERAL ELECTRIC CAPITAL CORP SERIES MTN FLT RT DTD 05/05/2006 1.69167% 05/05/2026 ,36962GW75,135000,131641,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , IBM CORP DTD 10/15/08 7.625% 10/15/2018 ,459200GM7,65000,68956,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , J P MORGAN CHASE & CO DTD 12/20/07 6% 01/15/2018 ,46625HGY0,110000,111407,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , JOHNSON & JOHNSON DTD 05/20/2011 3.55% 05/15/2021 ,478160AZ7,55000,58159,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , KING CNTY WA SER D QUAL ENERGY CONS BDS FED TAXABLE M-W CALL G/O 12/01/10 5.43% 12/01/2025-2010 ,49474E4C4,15000,17907,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MARYLAND ST BUILD AMERICA BONDS DIR PMT FED TAXABLE M-W CALL G/O 03/09/10 4.3% 03/01/2022 ,5741925C0,35000,38256,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MARYLAND ST QUAL SCH CONSTR BD FED TAXABLE M-W CALL G/O 8/10/10 4.35% 08/01/2025-2010 ,5741926N5,25000,28017,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MCDONALDS CORP CALLABLE DTD 12/09/2015 2.75% 12/09/2020-2020 ,58013MEX8,60000,61201,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MET GOVT NASH & DAVIDSON CNTY TN REF SER B FED TXBLE M-W CALL G/O 02/19/15 2.114% 07/01/2020 ,592112NV4,40000,40394,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MICROSOFT CORP CALLABLE DTD 05/02/2013 2.375% 05/01/2023-2023 ,594918AT1,80000,80208,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MISSISSIPPI ST SER D FED TAXABLE SINK/M-W CALL G/O 10/29/09 5.539% 10/01/2029 ,6055805Q8,50000,60067,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MISSISSIPPI ST REF SER D FED & ST TXBL M-W CALL G/O 02/18/15 2.195% 10/01/2021 ,605581EU7,90000,90419,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , MUNICIPAL ELEC AUTH GA SUB-PROJ ONE-SER A FED TAXABLE SINK/M-W CALL INSD: NATL-RE FGIC REV BD 01/19/05 5.07% 01/01/2019-2005 ,626207MV3,15000,15339,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , N Y CITY NY TRANS FIN AUTH SUB-SUBSER F-1 FED TAXABLE M-W CALL REV BD 4/21/16 2.61% 02/01/2025-2016 ,64971WF70,35000,34640,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , N Y CITY NY TRANS FIN AUTH SUB-SER E-3 FED TAXABLE CALL/M-W CALL REV BD 2/26/16 2.92% 02/01/2027-2026 ,64971WZV5,105000,103801,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , NORFOLK VA BUILD AMER BDS DIR PMT SER B FED TAXABLE M-W CALL G/O 1/21/10 4.4% 03/01/2018-2010 ,655867HY8,10000,10114,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , NORTH CAROLINA MUN PWR AGY #1 CATAWBA ELEC SER B FED TAXABLE M-W CALL REV BD 10/08/09 5.482% 01/01/2021-2009 ,658203L36,20000,21997,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , OREGON CMNTY COLLEGE DIST FED TAXABLE ONLY-B-BHAC-CR GEN OBLIG NON CALLABLE INSD: BHAC-CR FGIC DTD 04/23/03 5.68% 06/30/2026 ,68583RCV2,15000,18173,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , OREGON ST SCH BRDS ASSN SHORT-TM BORROWING PROG CTFS-PENSION FED TAXABLE SINK/M-W CALL INSD AMBAC SCH BD GTY G/O 6/21/05 4.668% 06/30/2020 ,686053FY0,51573.6,54063,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , OREGON ST PENSION FED TXBLE SINK/M-W CALL G/O 10/31/03 5.762% 06/01/2023 ,68607LXP7,99755.33,111541,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , PEPSICO INC CALLABLE DTD 07/17/2015 3.1% 07/17/2022-2022 ,713448CX4,80000,83115,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , PORT SEATTLE WASH SER B1-OID FED TXBLE CALL/SINK/ M-W CALL REV BD 07/16/09 7% 05/01/2036-2019 ,735389MT2,65000,70364,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , SUNTRUST BANK ATLANTA SER BKNT 5.45% 12/01/2017 ,86787GAC6,70000,70447,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , SUNTRUST BKS INC CALLABLE DTD 12/01/2016 2.7% 01/27/2022-2021 ,867914BM4,65000,65547,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , TENNESSEE ST SER C FED TAXBL M-W CALL G/O 10/26/11 3.528% 08/01/2023 ,880541QT7,40000,42664,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , TEXAS ST REF-PUBLIC FIN AUTH-SER B FED TAXABLE NON CALLABLE G/O 07/08/14 2.589% 10/01/2021 ,882723PP8,35000,35692,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , TEXAS ST REF-PUBLIC FIN AUTH-SER B FED TAXABLE NON CALLABLE G/O 07/08/14 2.993% 10/01/2023 ,882723PR4,45000,46429,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , TEXAS ST TECH UNIV 17TH SERIES REF SER B FED TXBLE NON CALLABLE REV BD 04/09/15 2.104% 02/15/2020 ,882806EM0,75000,75275,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , TOYOTA MOTOR CREDIT CORP SERIES MTN DTD 09/15/2011 3.4% 09/15/2021 ,89233P5F9,115000,119953,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UNITED STATES TREASURY DTD 11/30/2015 1.625% 11/30/2020 ,912828M98,160000,159938,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UNITED STATES TREASURY N/B DTD 04/30/2013 .625% 04/30/2018 ,912828UZ1,280000,278995,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UNIVERSITY OF ALA GEN UNIV ALA-SER B FED TAXABLE NON CALLABLE REV BD 10/30/09 4.64% 07/01/2019 ,914026FJ3,5000,5260,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UNIV OF NORTH CAROLINA NC AT CHAPEL HILL-REF-SER C FED TAXABLE M-W CALL REV BD 3/01/16 2.679% 12/01/2027-2016 ,914713N81,50000,49720,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UNIV OF PITTSBURGH PA HGR EDU REF-UNIV OF PITT-SER A FED TXBLE M-W CALL REV BD 01/17/17 2.732% 09/15/2023 ,914805EU6,55000,55954,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UNIV OF PITTSBURGH PA HGR EDU REF-UNIV OF PITTSBURGH-SER A FED TAXABLE M-W CALL REV BD 1/17/17 2.877% 09/15/2024-2017 ,914805EV4,35000,35736,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , UTAH ST BUILD AMER BDS-SER B DIR PMT FED TAXABLE SINK/M-W CALL G/O 9/30/10 3.539% 07/01/2025-2010 ,917542QV7,80000,85114,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , VERIZON COMMUNICATIONS DTD 09/18/2013 5.15% 09/15/2023 ,92343VBR4,105000,117851,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , VA ST CLG BLDG AUTH EDUCTNL FACS BUILD AMER BDS DIR PMT FED TAXABLE M-W CALL REV BD 11/18/10 5% 09/01/2025-2010 ,927781VV3,10000,11584,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , VIRGINIA ELEC & PWR CO CALLABLE DTD 01/12/2012 2.95% 01/15/2022-2021 ,927804FK5,85000,86792,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , VIRGINIA ST HSG DEV AUTH RENTAL HSG-SER C FED TAXABLE SINKABLE REV BD 03/30/2009 6.07% 08/01/2018 ,92812QVS3,25000,25631,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , VIRGINIA ST HSG DEV AUTH RENTAL HSG-FED TAXABLE-SER D REV BOND NON CALLABLE SINKABLE DTD 03/30/09 6.07% 11/01/2018 ,92812QWH6,50000,51767,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , WAL MART STORES INC DTD 10/25/2010 3.25% 10/25/2020 ,931142CZ4,55000,57338,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , WELLS FARGO & COMPANY SERIES: MTN DTD 09/28/2015 3.55% 09/29/2025 ,94974BGP9,85000,87034,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , REGIONS TRUST CASH SWEEP ,999990484,16653.01,16653,
AFL-AGC-2,QVM, AGCO CORP ,1084102,1800,132264,AGCO
AFL-AGC-2,QVM, AETNA INC ,00817Y108,1600,251680,AET
AFL-AGC-2,QVM, AIR PRODS & CHEMS INC ,9158106,400,60536,APD
AFL-AGC-2,QVM, ALASKA AIR GROUP INC ,11659109,1800,136566,ALK
AFL-AGC-2,QVM, ALBEMARLE CORP ,12653101,400,52928,ALB
AFL-AGC-2,QVM, AMEREN CORP ,23608102,1400,81704,AEE
AFL-AGC-2,QVM, AMERICAN ELECTRIC POWER CO ,25537101,1200,84600,AEP
AFL-AGC-2,QVM, AMERICAN INTL GROUP INC ,26874784,3500,213395,AIG
AFL-AGC-2,QVM, AMERISOURCEBERGEN CORP ,3.07E+108,3300,267267,ABC
AFL-AGC-2,QVM, AMERIPRISE FINANCIAL INC ,03076C106,1500,221625,AMP
AFL-AGC-2,QVM, AMGEN INC ,31162100,1500,278190,AMGN
AFL-AGC-2,QVM, AMPHENOL CORP CL A ,32095101,4300,353804,APH
AFL-AGC-2,QVM, ANTHEM INC ,36752103,1300,246714,ANTM
AFL-AGC-2,QVM, APPLE INC ,37833100,2100,321888,AAPL
AFL-AGC-2,QVM, ARCHER DANIELS MIDLAND CO ,39483102,1200,51300,ADM
AFL-AGC-2,QVM, AUTOLIV INC ,52800109,1100,135773,ALV
AFL-AGC-2,QVM, BP PLC SPONSORED ADR ONE ADR REPRS 6 ORDINARY SHS ,55622104,2600,99892,BP
AFL-AGC-2,QVM, BALL CORP ,58498106,1400,57988,BLL
AFL-AGC-2,QVM, BANK OF AMERICA CORP ,60505104,9200,234140,BAC
AFL-AGC-2,QVM, BEST BUY INC ,86516101,3500,198905,BBY
AFL-AGC-2,QVM, BIOGEN INC ,09062X103,900,279000,BIIB
AFL-AGC-2,QVM, BOEING CO ,97023105,1400,355978,BA
AFL-AGC-2,QVM, CAPITAL ONE FINL CORP ,14040H105,2500,210300,COF
AFL-AGC-2,QVM, CARLISLE CORP ,142339100,1300,130676,CSL
AFL-AGC-2,QVM, CARNIVAL CORP ,143658300,3300,212421,CCL
AFL-AGC-2,QVM, CELANESE CORP SER A ,150870103,490,51127,CE
AFL-AGC-2,QVM, CENTENE CORP ,15135B101,3100,297104,CNC
AFL-AGC-2,QVM, CENTERPOINT ENERGY INC ,15189T107,3000,87450,CNP
AFL-AGC-2,QVM, CHEVRON CORP ,166764100,800,94096,CVX
AFL-AGC-2,QVM, CITIGROUP INC ,172967424,3200,232480,C
AFL-AGC-2,QVM, COMCAST CORP CL A ,20030N101,5600,211792,CMCSA
AFL-AGC-2,QVM, CONOCOPHILLIPS ,20825C104,2000,100000,COP
AFL-AGC-2,QVM, CROWN HOLDINGS INC ,228368106,1000,60190,CCK
AFL-AGC-2,QVM, CUMMINS INC ,231021106,900,151497,CMI
AFL-AGC-2,QVM, D R HORTON INC ,23331A109,6300,245574,DHI
AFL-AGC-2,QVM, DANAHER CORP DEL ,235851102,3100,263624,DHR
AFL-AGC-2,QVM, DELTA AIR LINES INC ,247361702,2900,140099,DAL
AFL-AGC-2,QVM, DISCOVER FINANCIAL SVS ,254709108,3500,225260,DFS
AFL-AGC-2,QVM, DOVER CORP ,260003108,1400,128114,DOV
AFL-AGC-2,QVM, DR PEPPER SNAPPLE GROUP INC ,2.61E+113,2900,256244,DPS
AFL-AGC-2,QVM, ENI S P A EACH ADR REPRS 10 ORD SHS ,26874R108,2900,95265,E
AFL-AGC-2,QVM, EASTMAN CHEMICAL CO ,277432100,600,53976,EMN
AFL-AGC-2,QVM, EDISON INTERNATIONAL ,281020107,1100,85327,EIX
AFL-AGC-2,QVM, ELECTRONIC ARTS ,285512109,1900,221559,EA
AFL-AGC-2,QVM, EMERSON ELECTRIC CO ,291011104,2100,132006,EMR
AFL-AGC-2,QVM, ENTERGY CORP ,29364G103,1100,83974,ETR
AFL-AGC-2,QVM, EVERSOURCE ENERGY ,30040W108,1400,84798,ES
AFL-AGC-2,QVM, EXELON CORP ,30161N101,2300,86020,EXC
AFL-AGC-2,QVM, EXPRESS SCRIPTS HOLDING CO ,30219G108,4200,264894,ESRX
AFL-AGC-2,QVM, EXXON MOBIL CORP ,30231G102,1200,98628,XOM
AFL-AGC-2,QVM, FISERV INC ,337738108,2700,346167,FISV
AFL-AGC-2,QVM, FIRSTENERGY CORP ,337932107,2700,81189,FE
AFL-AGC-2,QVM, FRANKLIN RESOURCES ,354613101,4800,213840,BEN
AFL-AGC-2,QVM, GENERAL DYNAMICS CORP ,369550108,1700,348551,GD
AFL-AGC-2,QVM, GENTEX CORP ,371901109,6800,134844,GNTX
AFL-AGC-2,QVM, GILEAD SCIENCES INC ,375558103,3600,291276,GILD
AFL-AGC-2,QVM, GLOBAL PMTS INC ,37940X102,3500,328790,GPN
AFL-AGC-2,QVM, GOLDMAN SACHS GROUP INC ,38141G104,1000,235470,GS
AFL-AGC-2,QVM, HARTFORD FINL SVCS GROUP INC ,416515104,3800,209456,HIG
AFL-AGC-2,QVM, HASBRO INC ,418056107,2200,213422,HAS
AFL-AGC-2,QVM, HESS CORPORATION ,42809H107,2300,107042,HES
AFL-AGC-2,QVM, HOLOGIC INC ,436440101,6900,252885,HOLX
AFL-AGC-2,QVM, HOME DEPOT INC ,437076102,1300,211068,HD
AFL-AGC-2,QVM, HUNTSMAN CORP ,447011107,1900,51984,HUN
AFL-AGC-2,QVM, INGREDION INC ,457187102,400,48320,INGR
AFL-AGC-2,QVM, INTEL CORP ,458140100,9500,359385,INTC
AFL-AGC-2,QVM, INTERNATIONAL PAPER CO ,460146103,900,51183,IP
AFL-AGC-2,QVM, J P MORGAN CHASE & CO ,46625H100,2300,219374,JPM
AFL-AGC-2,QVM, JACOBS ENGR GROUP DEL ,469814107,2300,133791,JEC
AFL-AGC-2,QVM, JOHNSON & JOHNSON ,478160104,1900,245993,JNJ
AFL-AGC-2,QVM, L-3 COMMUNICATIONS CORP ,502413107,1800,338184,LLL
AFL-AGC-2,QVM, LAM RESEARCH CORP ,512807108,2000,363640,LRCX
AFL-AGC-2,QVM, LEAR CORP ,521865204,800,139112,LEA
AFL-AGC-2,QVM, LINCOLN NATIONAL CORP ,534187109,3200,234656,LNC
AFL-AGC-2,QVM, LOCKHEED MARTIN CORP ,539830109,1100,340043,LMT
AFL-AGC-2,QVM, MANPOWER GROUP ,56418H100,2000,239860,MAN
AFL-AGC-2,QVM, MARATHON OIL CORP ,565849106,8000,108240,MRO
AFL-AGC-2,QVM, MCDONALDS CORP ,580135101,1400,220486,MCD
AFL-AGC-2,QVM, MCKESSON CORP ,58155Q103,1700,261324,MCK
AFL-AGC-2,QVM, MERCK & CO. INC. NEW ,58933Y105,4000,257160,MRK
AFL-AGC-2,QVM, METLIFE INC ,59156R108,4100,210412,MET
AFL-AGC-2,QVM, MOHAWK INDS INC ,608190104,900,223272,MHK
AFL-AGC-2,QVM, MORGAN STANLEY GROUP INC ,617446448,4600,221490,MS
AFL-AGC-2,QVM, MOSAIC CO - WI ,61945C103,2800,59640,MOS
AFL-AGC-2,QVM, MOTOROLA SOLUTIONS INC SOLUTIONS INC. ,620076307,3800,318022,MSI
AFL-AGC-2,QVM, MURPHY OIL CORP ,626717102,3500,94465,MUR
AFL-AGC-2,QVM, NRG ENERGY INC ,629377508,3300,82170,NRG
AFL-AGC-2,QVM, NATIONAL OILWELL VARCO INC ,637071101,3000,106590,NOV
AFL-AGC-2,QVM, NORTHROP GRUMMAN CORP ,666807102,1200,341544,NOC
AFL-AGC-2,QVM, OGE ENERGY CORP ,670837103,2300,83214,OGE
AFL-AGC-2,QVM, ORACLE CORPORATION ,68389X105,6700,322136,ORCL
AFL-AGC-2,QVM, OWENS ILL INC COM NEW ,690768403,2400,60528,OI
AFL-AGC-2,QVM, PVH CORP ,693656100,1600,200832,PVH
AFL-AGC-2,QVM, PACKAGING CORP OF AMERICA ,695156109,400,46244,PKG
AFL-AGC-2,QVM, PARKER HANNIFIN CORP ,701094104,700,123074,PH
AFL-AGC-2,QVM, PITNEY BOWES INC ,724479100,11500,160425,PBI
AFL-AGC-2,QVM, PRINCIPAL FINANCIAL GROUP ,74251V102,3300,211200,PFG
AFL-AGC-2,QVM, PRUDENTIAL FINANCIAL INC ,744320102,2100,222600,PRU
AFL-AGC-2,QVM, PUBLIC SVC ENTERPRISE GROUP INC ,744573106,1800,82944,PEG
AFL-AGC-2,QVM, PULTE GROUP INC. ,745867101,8800,237336,PHM
AFL-AGC-2,QVM, REGIONS FINANCIAL CORP ,7591EP100,15200,228608,RF
AFL-AGC-2,QVM, RELIANCE STEEL & ALUMINUM ,759509102,800,61008,RS
AFL-AGC-2,QVM, ROYAL DUTCH SHELL PLC-ADR ,780259206,1600,96592,RDSA
AFL-AGC-2,QVM, S&P GLOBAL INC ,78409V104,1500,233295,SPGI
AFL-AGC-2,QVM, SCANA CORP NEW ,80589M102,1400,71386,SCG
AFL-AGC-2,QVM, SOUTHWESTERN ENERGY CO ,845467109,16500,101310,SWN
AFL-AGC-2,QVM, SPIRIT AEROSYSTEMS HOLDING-CL A ,848574109,4500,349200,SPR
AFL-AGC-2,QVM, STANLEY BLACK & DECKER INC. ,854502101,1600,239232,SWK
AFL-AGC-2,QVM, STERICYCLE INC ,858912108,3700,265364,SRCL
AFL-AGC-2,QVM, SUNTRUST BKS INC ,867914103,3600,213480,STI
AFL-AGC-2,QVM, T-MOBILE US INC ,872590104,1300,80496,TMUS
AFL-AGC-2,QVM, TAKE-TWO INTERACTIVE SOFTWARE ,874054109,2300,232047,TTWO
AFL-AGC-2,QVM, TEXAS INSTRUMENTS INC ,882508104,4100,367565,TXN
AFL-AGC-2,QVM, 3M CO ,88579Y101,600,125730,MMM
AFL-AGC-2,QVM, TOLL BROTHERS INC ,889478103,5700,233586,TOL
AFL-AGC-2,QVM, TOTAL S A SPONSORED ADR ONE ADR RPRS 0.5 ORD SH ,8.92E+113,1700,90814,TOT
AFL-AGC-2,QVM, TYSON FOODS ,902494103,4000,261800,TSN
AFL-AGC-2,QVM, UNITED CONTINENTAL HOLDINGS INC ,910047109,2200,134552,UAL
AFL-AGC-2,QVM, UNITED RENTALS INC ,911363109,1900,262143,URI
AFL-AGC-2,QVM, UNITED HEALTH GROUP INC ,91324P102,1300,254930,UNH
AFL-AGC-2,QVM, UNUM GROUP ,91529Y106,4400,224796,UNM
AFL-AGC-2,QVM, VERIZON COMMUNICATIONS ,92343V104,1800,88938,VZ
AFL-AGC-2,QVM, WESTERN UNION CO ,959802109,13500,257310,WU
AFL-AGC-2,QVM, WEST LAKE CHEMICAL CORP ,960413102,700,58485,WLK
AFL-AGC-2,QVM, XCEL ENERGY INC ,98389B100,1700,80529,XEL
AFL-AGC-2,QVM, REGIONS TRUST CASH SWEEP ,999990484,498524.1,498524,
AFL-AGC-2,QVM, DELPHI AUTOMOTIVE PLC ,G27823106,1300,127062,DLPH
AFL-AGC-2,QVM, WEATHERFORD INTERNATIONAL PL ,G48833100,22800,102828,WFT
AFL-AGC-2,QVM, NABORS INDUSTRIES LTD ,G6359F103,12100,98373,NBR
