IWMS-2,CREDIT ACCEPTANCE,225310101,CACC,258,64267.80 ,FINANCE
IWMS-2,EAGLE BANCORP INC,268948106,EGBN,1300,81185.00 ,OTHER FINANCIALS
IWMS-2,ENSIGN GROUP INC,29358P101,ENSG,3140,70241.80 ,OTHER HEALTHCARE
IWMS-2,ENVESTNET INC,29404K106,ENV,1130,44126.50 ,SOFTWARE
IWMS-2,EPAM SYSTEMS INC,29414B104,EPAM,665,57143.45 ,INFORMATION TECHNOLOGY
IWMS-2,EURONET WORLDWIDE INC COM,298736109,EEFT,740,71491.40 ,INTERNET AND CATALOG RETAIL
IWMS-2,FIESTA RESTAURANT GROUP,31660B101,FRGI,1442,24225.60 ,HOTELS  RESTAURANTS AND LEISURE
IWMS-2,FIVE BELOW INC,33829M101,FIVE,852,41160.12 ,RETAILERS
IWMS-2,FORTINET INC,34959E113,FTNT,1360,50197.60 ,SOFTWARE
IWMS-2,GUIDEWIRE SOFTWARE INC.,40171V100,GWRE,910,65665.60 ,COMPUTERS AND PERIPHERALS
IWMS-2,HFF,40418F108,HF,1451,53280.72 ,REAL ESTATE MGMT AND DEVELOPMENT
IWMS-2,HEALTHCARE SERVICES GROUP,421906108,HCSG,1276,66671.00 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-2,HEALTHEQUITY INC,42226A107,HQY,1157,53071.59 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-2,INDEPENDENT BANK,453836108,INDB,676,48232.60 ,COMMERCIAL BANKS
IWMS-2,INSTALLED BUILDING PRODUCTS,45780R101,IBP,1049,56436.20 ,CONSTRUCTION MATERIALS
IWMS-2,KNIGHT TRANSPORTATION,499064103,KNX,1503,53581.95 ,ROAD AND RAIL
IWMS-2,MEDNAX INC.,58502B106,MD,756,35516.88 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-2,FEDERATED GOVERNMENT OBLIGATION #395,60934N807,FED395,47318.3,47318.30 ,
IWMS-2,MONOLITHIC POWER SYSTEMS  INC,609839105,MPWR,500,51160.00 ,SEMICONDUCTORS AND EQUIPMENT
IWMS-2,MONRO MUFFLER BRAKE INC,610236101,MNRO,1479,68921.40 ,AUTO COMPONENTS
IWMS-2,NU SKIN ENTERPRISES INC CL A,67018T105,NUS,635,40233.60 ,FOOD AND STAPLES RETAILING
IWMS-2,OLD DOMINION FREIGHT LINES INC,679580100,ODFL,1020,97828.20 ,INDUSTRIALS
IWMS-2,OLLIES BARGAIN OUTLET HOLDINGS,681116109,OLLI,1218,54444.60 ,RETAILERS
IWMS-2,PRA GROUP INC,69354N106,PRAA,1285,50372.00 ,FINANCIALS
IWMS-2,PLANET FITNESS INC - CL A,72703H101,PLNT,2235,50645.10 ,OTHER CONSUMER DISCRETIONARY
IWMS-2,POOL CORPORATION COM,73278L105,POOL,493,53303.16 ,OTHER CONSUMER DISCRETIONARY
IWMS-2,PROOFPOINT INC,743424103,PFPT,389,33158.36 ,INTERNET SOFTWARE AND SERVICES
IWMS-2,RBC BEARINGS INC,75524B104,ROLL,624,64484.16 ,MACHINERY
IWMS-2,SEI INVESTMENTS,784117103,SEIC,747,42212.97 ,DIVERSIFIED FINANCIAL SERVICES
IWMS-2,SANGAMO THERAPEUTICS INC,800677106,SGMO,3394,29188.40 ,BIOTECHNOLOGY
IWMS-2,SEATTLE,812578102,SGEN,650,32825.00 ,OTHER HEALTHCARE
IWMS-2,SOUTH ST CORP NPV,840441109,SSB,666,55777.50 ,FINANCIALS
IWMS-2,SPIRIT AIRLINES,848577102,SAVE,1183,45959.55 ,AIRLINES
IWMS-2,TEXAS CAPITAL BANCSHARES INC.,88224Q107,TCBI,920,72082.00 ,COMMERCIAL BANKS
IWMS-2,TREX COMPANY INC,89531P105,TREX,939,70622.19 ,MATERIALS
IWMS-2,TYLER TECHNOLOGIES INC,902252105,TYL,470,80750.70 ,OTHER INFORMATION TECHNOLOGY
IWMS-2,ULTIMATE SOFTWARE GROUP,90385D107,ULTI,300,67713.00 ,INTERNET SOFTWARE AND SERVICES
IWMS-2,WASTE CONNECTIONS INC,94106B101,WCN,888,57702.24 ,OTHER INDUSTRIALS
IWMS-2,WAYFAIR INC-CLASS A,94419L101,W,780,59553.00 ,RETAILERS
IWMS-2,WEBSTER WEBSTER FINL CORP,947890109,WBS,1170,60758.10 ,FINANCIALS
IWMS-2,WESCO INTERNATIONAL INC,95082P105,WCC,1248,63960.00 ,ELECTRICAL EQUIPMENT
IWMS-2,ZENDESK INC,98936J101,ZEN,1729,50694.28 ,INTERNET SOFTWARE AND SERVICES
IWMS-2,ICON PLC PLC,G4705A100,ICLR,1140,119643.00 ,PHAMACEUTICALS
IWMS-2,LUXOFT HOLDING INC,G57279104,LXFT,788,49604.60 ,IT SERVICES
IWMS-2,CYBERARK SOFTWARE LTD/ISRAEL,M2682V108,CYBR,640,26675.20 ,SOFTWARE
IWMS-2,CIMPRESS NV,N20146101,CMPR,1032,91063.68 ,CORPORATES
IWMS-2,INTERXION HOLDING NV,N47279109,,648,31019.76 ,FINANCIALS
IWMS-2,MAKEMYTRIP LTD,V5633W109,MMYT,1185,38571.75 ,OTHER
IWMS-3,AGCO CORP,1084102,AGCO,834,60164.76 ,MACHINERY
IWMS-3,ACTUANT CORPORATION A,00508X203,ATU,3605,87241.00 ,MACHINERY
IWMS-3,ADTALEM GLOBAL EDUCATION INC,00737L103,ATGE,2111,68607.50 ,DIVERSIFIED CONSUMER SERVICES
IWMS-3,ADTRAN INC.,00738A106,ADTN,2187,51285.15 ,COMMUNICATIONS EQUIPMENT
IWMS-3,ANGIODYNAMICS INC,03475V101,ANGO,2708,44005.00 ,HEALTH CARE EQUIP AND SUPPLIES
IWMS-3,ARMSTRONG FLOORING INC,04238R106,AFI,2177,37792.72 ,CONSTRUCTION MATERIALS
IWMS-3,AVNET  INC,53807103,AVT,2246,86201.48 ,ELECTR EQUIP INSTRUMENTS COMP
IWMS-3,BABCOCK & WILCOX ENTERPRISES INC,05614L100,BW,6989,73384.50 ,ENERGY
IWMS-3,BERKSHIRE HILLS BANCORP,84680107,BHLB,1623,60294.45 ,FINANCE
IWMS-3,CARS.COM INC,14575E109,CARS,1232,29937.60 ,CONSUMER DISCRETIONARY
IWMS-3,FLOWSERVE CORP,34354P105,FLS,1574,64738.62 ,INDUSTRIAL CONGLOMERATES
IWMS-3,GENTEX CORP,371901109,GNTX,2364,40235.28 ,AUTO COMPONENTS
IWMS-3,GILDAN AVTIVEWEAR INC,375916103,GIL,4611,138929.43 ,SPECIALTY RETAIL
IWMS-3,HORACE MANN EDUCATORS CORP.,440327104,HMN,3003,110810.70 ,INSURANCE
IWMS-3,INTREPID POTACH  INC,46121Y102,IPI,17774,53855.22 ,METALS AND MINING
IWMS-3,INVESTORS BANCORP INC,46146L101,ISBC,6417,85217.76 ,FINANCE
IWMS-3,JONES LANG LASALLE INC,48020Q107,JLL,613,77985.86 ,REAL ESTATE MGMT AND DEVELOPMENT
IWMS-3,LA QUINTA HLDGS,50420D108,LQ,6394,95334.54 ,HOTELS  RESTAURANTS AND LEISURE
IWMS-3,LINDSAY CORP,535555106,LNN,352,32267.84 ,INDUSTRIALS
IWMS-3,LUMINEX CORP DEL COM,55027106,LMNX,1420,29010.60 ,BIOTECHNOLOGY
IWMS-3,MEDNAX INC.,58502B106,MD,1297,60933.06 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-3,FEDERATED GOVERNMENT OBLIGATION #395,60934N807,FED395,225555.76,225555.76 ,
IWMS-3,NET SCOUT SYSTEMS,64115T104,NTCT,857,29566.50 ,SOFTWARE
IWMS-3,RALPH LAUREN CORP,751212101,RL,593,44860.45 ,TEXTILES  APPAREL LUXURY GOODS
IWMS-3,SS&C TECHNOLOGIES HLDG,78467J100,SSNC,3100,120156.00 ,
IWMS-3,SCANSOURCE  INC.,806037107,SCSC,2256,89337.60 ,INFORMATION TECHNOLOGY
IWMS-3,SONIC CORP,835451105,SONC,1781,42138.46 ,HOTELS  RESTAURANTS AND LEISURE
IWMS-3,SYNAPTICS INC COM,87157D109,SYNA,1144,60185.84 ,COMPUTERS AND PERIPHERALS
IWMS-3,TERADATA CORP,88076W103,TDC,2020,64276.40 ,SOFTWARE
IWMS-3,THERMON,88362T103,THR,3568,63760.16 ,INDUSTRIALS
IWMS-3,TUPPERWARE BRANDS CORP,899896104,TUP,601,36486.71 ,HOUSEHOLD DURABLES
IWMS-3,UBIQUITI,90347A100,UBNT,557,30356.50 ,COMMUNICATIONS EQUIPMENT
IWMS-3,UNIFIRST CORP,904708104,UNF,526,74823.50 ,COMMERCIAL SERVICES AND SUPPLIES
IWMS-3,UNITED FIRE GROUP,910340108,UFCS,1509,68086.08 ,INSURANCE
IWMS-3,VIASAT INC,92552V100,VSAT,1309,86511.81 ,COMMUNICATIONS EQUIPMENT
IWMS-3,WERNER ENTERPRISE,950755108,WERN,1316,39019.40 ,ROAD AND RAIL
IWMS-3,WESCO INTERNATIONAL INC,95082P105,WCC,1834,93992.50 ,ELECTRICAL EQUIPMENT
IWMS-3,WILEY JOHN & SONS INC,968223206,JW.A,1411,77957.75 ,MEDIA
IWMS-3,XO GROUP,983772104,XOXO,1378,25189.84 ,INTERNET SOFTWARE AND SERVICES
IWMS-3,ZUMIEZ INC,989817101,ZUMZ,3420,43434.00 ,SPECIALTY RETAIL
IWMS-3,ASPEN INSURANCE HOLDINGS LTD ADR,G05384105,AHL,2450,119560.00 ,INSURANCE
IWMS-3,VALIDUS,G9319H102,VR,1077,57931.83 ,OTHER
IWMS-4,BLACKROCK STRATEGIC INCOME OPP K,09257E787,BSIKX,880328.27,8750463.00 ,OTHER EQUITY FUNDS
IWMS-4,FEDERATED GOVERNMENT OBLIGATION #395,60934N807,FED395,29,29.00 ,
